source,actions
"['p', 'r', 'o', 'k', 'l', 'á', 'd', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'd @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'l', 'á', 's', 't', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'k', 'l', 'á', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'l @@', 'á @@', 'COPY']"
"['p', 'r', 'o', 'k', 'l', 'í', 'm', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'm @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'l', 'í', 'm', 'á', 'v', 'á', 'n', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'm @@', 'á @@', 'v @@', 'á @@', 'n @@', 'COPY']"
"['p', 'r', 'o', 'k', 'l', 'í', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'í @@', 'COPY']"
"['p', 'r', 'o', 'k', 'm', 'i', 't', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'p', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'p @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'p', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'p @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'p', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'p @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 'k', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 's', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 's', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 's', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 'č', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'č @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'o', 'u', 'ř', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'ř @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'e', 'm', 'e', 'l', 's', 'k', 'o', 's', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'k @@', 'COPY', 'COPY', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'i', 'n', 'd', 'a', 'p', 'á', 'n', 'a']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'a @@', 'COPY', 'COPY', 'n @@', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'i', 's', 't', 'a', 'p', 'á', 'n', 'a']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'a @@', 'COPY', 'COPY', 'n @@', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'i', 's', 't', 'á', 'č', 'k', 'a']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'm', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'm @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'k', 'r', 'v', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'v @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'k', 'u', 's', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'v', 'é', 's', 't', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'k', 'v', 'é', 't', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'á', 'd', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'á', 'z', 'a', 'l', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'a @@', 'l @@', 'COPY']"
"['p', 'r', 'o', 'k', 'á', 'z', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'k', 'ř', 'e', 'h', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'k', 'ř', 'e', 'h', 'n', 'u', 't', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'u @@', 't @@', 'COPY']"
"['p', 'r', 'o', 'k', 'ř', 'i', 'č', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'č @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'k', 'š', 'e', 'f', 't', 'o', 'v', 'a', 'c', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'c @@', 'COPY']"
"['p', 'r', 'o', 'l', 'a', 'j', 'd', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'd @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 'l', 'k', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 'n', 'o', 'š', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'n @@', 'COPY', 'š @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 't', 'a', 'r', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'r @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 't', 'u', 'j', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'COPY', 'j @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 't', 'á', 'ř', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'ř @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 't', 'ě', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'ě @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 'ž', 'e', 'l']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ž @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'l', 'e', 'ž', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ž @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'l', 'i', 'l']","['COPY', 'COPY', 'o @@', 'COPY', 'i @@', 'COPY']"
"['p', 'r', 'o', 'l', 'i', 's', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'i', 's', 'o', 'v', 'a', 't', 'e', 'l', 'n', 'o', 's', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY']"
"['p', 'r', 'o', 'l', 'i', 's', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'l @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'l', 'o', 'm', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'm @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'l', 'o', 'n', 'g', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'g @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'o', 'ž', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ž @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'l', 'á', 'm', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'm @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'é', 't', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'é', 't', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'é', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'é @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'é', 'z', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'é', 'z', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 'n', 'a', 'j', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'n @@', 'COPY', 'j @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 'n', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'n @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'í @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 't', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 't', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'l', 'í', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'í @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 's', 't', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 's', 'í', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 'z', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 'č', 'k', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 'č', 'k', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'a', 'ř', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ř @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'e', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'e', 't', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'e', 't', 'á', 'n', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'á @@', 'n @@', 'COPY']"
"['p', 'r', 'o', 'm', 'e', 'š', 'k', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'i', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'i @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'i', 'ň', 't', 'e']","['COPY', 'COPY', 'o @@', 'COPY', 'i @@', 'ň @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 'o', 'u', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 'o', 'u', 'v', 'á']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 's', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 'u', 'v', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'v @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 'č', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'm', 'l', 'č', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'm @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'd', 'r', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'r @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'k', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'č', 'e', 'n', 'ý']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'COPY', 'n @@', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'č', 'e', 'n', 'ý', 'm', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'o', 'č', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'r', 'h', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'h @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'r', 'z', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'y', 'k', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'y', 's', 'l', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'l @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'm', 'y', 'š', 'l', 'e', 'n']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'y', 'š', 'l', 'e', 'n', 'ý', 'm', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'l @@', 'e @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'á', 'z', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'á', 'č', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'č @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'm', 'á', 'č', 'k', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 'c', 'h', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'h @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 'j', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'j @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 's', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 't', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 't', 'a', 't', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'a @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'í', 't', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ý', 'k', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ý', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'ý @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ý', 't', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 't @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ý', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'ý @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ě', 'n', 'a']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'n @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ě', 'n', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'n @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ě', 'ň', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ň @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'm', 'ě', 'ň', 'u', 'j', 'e']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ň @@', 'COPY', 'COPY', 'COPY']"
"['p', 'r', 'o', 'm', 'ě', 'ř', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ř @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'n', 'a', 'j', 'a', 'l', 'a']","['COPY', 'COPY', 'o @@', 'COPY', 'a @@', 'j @@', 'a @@', 'l @@', 'COPY']"
"['p', 'r', 'o', 'n', 'a', 'j', 'm', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'a @@', 'j @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'n', 'a', 'j', 'í', 'm', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'a @@', 'COPY', 'COPY', 'm @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'n', 'a', 'j', 'í', 'm', 'a', 't', 'e', 'l', 'n', 'ý']","['COPY', 'COPY', 'o @@', 'COPY', 'a @@', 'COPY', 'COPY', 'm @@', 'a @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['p', 'r', 'o', 'n', 'e', 's', 'l']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY']"
"['p', 'r', 'o', 'n', 'i', 'k', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'n', 'i', 'k', 'a', 'v', 'ý']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'a @@', 'v @@', 'COPY']"
"['p', 'r', 'o', 'n', 'i', 'k', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'n', 'i', 'k', 'n', 'o', 'u', 't', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'u @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'n', 'i', 'k', 'á']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['p', 'r', 'o', 'n', 'á', 's', 'l', 'e', 'd', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'á @@', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'n', 'á', 's', 'l', 'e', 'd', 'u', 'j', 'í']","['COPY', 'COPY', 'o @@', 'COPY', 'á @@', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'j @@', 'COPY']"
"['p', 'r', 'o', 'n', 'é', 's', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY']"
"['p', 'r', 'o', 'o', 'r', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'r @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'c', 'h', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'l', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'l @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'l', 'o']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'l @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'l', 'é']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'l @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'n', 'e', 'm', 'e']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'COPY', 'e @@', 'COPY', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'n', 'u']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'n @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'd', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'ř', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'ř @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'p', 'a', 'š', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'š @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'i', 'c', 'h', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'i', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'i', 's', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'a', 't', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'a', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'a', 'v', 'i', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'v @@', 'i @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'o', 'u', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'u @@', 'v @@', 'a @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'á', 'c', 'e', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'c @@', 'e @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'á', 'c', 'h', 'n', 'o', 'u', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'COPY', 'u @@', 'COPY']"
"['p', 'r', 'o', 'p', 'l', 'é', 's', 't', 'i']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY']"
